@relation 'allData-weka.filters.unsupervised.attribute.Remove-R1-3,7,9-23,25-28-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 2 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -num-slots 1 -S 10-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 4 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -num-slots 1 -S 10'

@attribute Unemployment_rate_2015 numeric
@attribute Median_Household_Income_2015 numeric
@attribute poverty_rate numeric
@attribute college_rate numeric
@attribute crime_rate_per_100000 numeric
@attribute cluster {cluster1,cluster2,cluster3,cluster4}

@data
0.171171,0.277217,0.256545,0.634615,0.176994,cluster4
0.081081,0.267819,0.123037,0.623626,0,cluster4
0.126126,0.352203,0.172775,0.631868,0.0724,cluster4
0.175676,0.19495,0.356021,0.620879,0.128399,cluster4
0.148649,0.232666,0.329843,0.546703,0.098688,cluster1
0.09009,0.254286,0.183246,0.598901,0.049116,cluster4
0.18018,0.117236,0.366492,0.793956,0.101445,cluster4
0.112613,0.364134,0.128272,0.42033,0.012246,cluster3
0.072072,0.392453,0.117801,0.813187,0.069231,cluster4
0.027027,0.249189,0.151832,0.725275,0.012811,cluster4
0.094595,0.521999,0.078534,0.362637,0.086697,cluster3
0.103604,0.179155,0.337696,0.785714,0.086264,cluster4
0.175676,0.17131,0.39267,0.711538,0.279967,cluster4
0.157658,0.374075,0.13089,0.659341,0.073782,cluster4
0.202703,0.168582,0.282723,0.56044,0.085103,cluster1
0.067568,0.466915,0.125654,0.401099,0.102052,cluster3
0.198198,0.109848,0.528796,0.425824,0.134835,cluster2
0.108108,0.19994,0.243455,0.502747,0.080641,cluster1
0.09009,0.387346,0.167539,0.31044,0.043608,cluster3
0.072072,0.169223,0.206806,0.651099,0.118228,cluster4
0.031532,0.45375,0.115183,0.478022,0.07207,cluster3
0.121622,0.420335,0.109948,0.686813,0.115084,cluster3
0.036036,0.239772,0.159686,0.771978,0.185896,cluster4
0.094595,0.451818,0.191099,0.612637,0.153065,cluster3
0.036036,0.252801,0.230366,0.653846,0.038482,cluster4
0.162162,0.615527,0.146597,0.271978,0.162857,cluster3
0.184685,0.450129,0.201571,0.384615,0.170529,cluster3
0.148649,0.465536,0.094241,0.46978,0.037317,cluster3
0.13964,0.582335,0.078534,0.412088,0.045166,cluster3
0.198198,0.377298,0.26178,0.370879,0.219258,cluster1
0.184685,0.414617,0.188482,0.453297,0.116228,cluster3
0.13964,0.570083,0.081152,0.456044,0.019907,cluster3
0.202703,0.372881,0.164921,0.532967,0.034639,cluster3
0.162162,0.318273,0.251309,0.519231,0.298097,cluster1
0.130631,0.420218,0.219895,0.414835,0.32466,cluster3
0.13964,0.304982,0.198953,0.428571,0.255189,cluster1
0.126126,0.234248,0.434555,0.497253,0.337749,cluster1
0.166667,0.271722,0.269634,0.409341,0.132212,cluster1
0.162162,0.241258,0.303665,0.651099,0.277445,cluster4
0.135135,0.174601,0.379581,0.475275,0.270186,cluster1
0.184685,0.266567,0.240838,0.637363,0.300181,cluster4
0.148649,0.298332,0.272251,0.505495,0.262807,cluster1
0.193694,0.127837,0.376963,0.436813,0.076017,cluster1
0.184685,0.219414,0.198953,0.60989,0.13516,cluster4
0.252252,0.165893,0.324607,0.552198,0.180709,cluster1
0.144144,0.352892,0.196335,0.673077,0.226739,cluster4
0.153153,0.383385,0.251309,0.403846,0.136206,cluster3
0.162162,0.198134,0.34555,0.631868,0.365178,cluster4
0.18018,0.111508,0.602094,0.241758,0.240889,cluster2
0.198198,0.124799,0.560209,0.508242,0.20305,cluster2
0.18018,0.258927,0.316754,0.585165,0.346846,cluster4
0.166667,0.221744,0.26178,0.681319,0.445602,cluster4
0.198198,0.266518,0.185864,0.601648,0.143479,cluster4
0.130631,0.148787,0.413613,0.453297,0.442658,cluster1
0.238739,0.133419,0.458115,0.414835,0.294759,cluster2
0.171171,0.15968,0.332461,0.585165,0.108766,cluster1
0.238739,0.168155,0.379581,0.346154,0.163083,cluster1
0.153153,0.178883,0.366492,0.549451,0.243253,cluster1
0.207207,0.102936,0.586387,0.409341,0.190496,cluster2
0.22973,0.125779,0.463351,0.167582,0.154115,cluster2
0.391892,0.159466,0.481675,0.263736,0.346995,cluster2
0.22973,0.196192,0.251309,0.618132,0.164749,cluster4
0.252252,0.114527,0.447644,0.5,0.151491,cluster2
0.144144,0.279751,0.316754,0.5,0.197451,cluster1
0.193694,0.119488,0.492147,0.445055,0.135851,cluster2
0.225225,0.262053,0.212042,0.543956,0.172134,cluster1
0.18018,0.134526,0.424084,0.486264,0.236118,cluster1
0.184685,0.187523,0.335079,0.508242,0.345972,cluster1
0.121622,0.169417,0.408377,0.431319,0.170287,cluster1
0.166667,0.260344,0.217277,0.576923,0.180617,cluster4
0.148649,0.270072,0.314136,0.494505,0.188569,cluster1
0.144144,0.228249,0.458115,0.464286,0.370645,cluster1
0.175676,0.127284,0.431937,0.502747,0.157654,cluster1
0.18018,0.162408,0.374346,0.307692,0.08689,cluster1
0.193694,0.111314,0.505236,0.557692,0.458873,cluster2
0.144144,0.270217,0.280105,0.497253,0.326889,cluster1
0.207207,0.166583,0.374346,0.554945,0.267306,cluster1
0.157658,0.29673,0.175393,0.568681,0.146461,cluster4
0.184685,0.201862,0.431937,0.365385,0.366079,cluster1
0.076577,0.344038,0.172775,0.557692,0.285776,cluster3
